"p"	"count"
"http://dbpedia.org/property/before"	197106
"http://dbpedia.org/ontology/timeZone"	196863
"http://dbpedia.org/property/pushpinMap"	196257
"http://dbpedia.org/ontology/Work/runtime"	196042
"http://dbpedia.org/ontology/runtime"	196042
"http://dbpedia.org/property/position"	195694
"http://dbpedia.org/property/coordinatesDisplay"	195536
"http://dbpedia.org/property/after"	195336
"http://dbpedia.org/property/populationAsOf"	194727
"http://dbpedia.org/property/ordo"	192132
"http://dbpedia.org/property/coordinatesRegion"	191018
"http://dbpedia.org/property/score"	190601
"http://dbpedia.org/property/populationTotal"	190321
"http://dbpedia.org/property/officialName"	188622
"http://dbpedia.org/property/report"	187360
"http://dbpedia.org/property/deathPlace"	187135
"http://dbpedia.org/property/stadium"	186410
"http://www.wikidata.org/entity/P213"	185577
"http://dbpedia.org/property/originalairdate"	184912
"http://dbpedia.org/property/artist"	181818
"http://dbpedia.org/ontology/imdbId"	180288
"http://www.wikidata.org/entity/P345"	180252
"http://dbpedia.org/ontology/squadNumber"	179357
"http://dbpedia.org/property/shortsummary"	178978
"http://dbpedia.org/property/classis"	178780
"http://dbpedia.org/property/deathDate"	174105
"http://dbpedia.org/ontology/releaseDate"	173222
"http://dbpedia.org/property/phylum"	168051
"http://dbpedia.org/property/species"	166614
"http://dbpedia.org/ontology/areaTotal"	166270
"http://dbpedia.org/property/lats"	166049
"http://dbpedia.org/property/longs"	166047
"http://dbpedia.org/ontology/postalCode"	164645
"http://dbpedia.org/property/language"	161598
"http://www.wikidata.org/entity/P77"	161305
"http://dbpedia.org/ontology/classis"	161305
"http://dbpedia.org/property/id"	161080
"http://dbpedia.org/property/attendance"	159850
"http://www.wikidata.org/entity/P20"	158111
"http://dbpedia.org/ontology/synonym"	158010
"http://www.wikidata.org/entity/P244"	157227
"http://dbpedia.org/property/rd1Score"	157162
"http://www.wikidata.org/entity/P18"	156982
"http://dbpedia.org/ontology/director"	154794
"http://dbpedia.org/ontology/PopulatedPlace/areaTotal"	153808
"http://dbpedia.org/property/binomial"	152410
"http://dbpedia.org/property/pos"	149299
"http://dbpedia.org/property/rev"	148529
"http://dbpedia.org/ontology/activeYearsStartYear"	147710
"http://dbpedia.org/property/party"	145334
"http://dbpedia.org/ontology/writer"	144341
"http://dbpedia.org/property/change"	143361
"http://dbpedia.org/property/fullname"	141961
"http://dbpedia.org/property/utcOffsetDst"	139840
"http://dbpedia.org/property/timezoneDst"	139649
"http://dbpedia.org/property/lat"	137277
"http://dbpedia.org/property/city"	137076
"http://dbpedia.org/property/year"	136605
"http://dbpedia.org/property/cover"	135004
"http://dbpedia.org/property/lon"	134414
"http://dbpedia.org/ontology/subsequentWork"	132467
"http://dbpedia.org/ontology/previousWork"	131014
"http://dbpedia.org/property/refnum"	130789
"http://dbpedia.org/property/populationDensityKm"	130403
"http://dbpedia.org/ontology/title"	129909
"http://dbpedia.org/property/address"	129713
"http://dbpedia.org/property/rd2Score"	128646
"http://dbpedia.org/property/rd3Team"	127469
"http://dbpedia.org/property/elevationM"	126482
"http://dbpedia.org/property/region"	126448
"http://dbpedia.org/property/p"	124894
"http://dbpedia.org/property/referee"	124873
"http://dbpedia.org/property/pushpinLabelPosition"	122891
"http://www.wikidata.org/entity/P70"	122490
"http://dbpedia.org/property/postalCode"	119547
"http://www.wikidata.org/entity/P132"	116488
"http://dbpedia.org/property/director"	114669
"http://dbpedia.org/property/recorded"	113278
"http://dbpedia.org/property/rd1Seed"	109245
"http://dbpedia.org/property/time"	108927
"http://dbpedia.org/ontology/activeYearsStartDate"	106360
"http://dbpedia.org/property/thisAlbum"	105594
"http://dbpedia.org/property/pushpinMapCaption"	105298
"http://www.wikidata.org/entity/P175"	103427
"http://dbpedia.org/property/imageCaption"	103206
"http://dbpedia.org/property/nationality"	102276
"http://dbpedia.org/property/mapCaption"	101264
"http://dbpedia.org/property/binomialAuthority"	99957
"http://dbpedia.org/ontology/associatedMusicalArtist"	99824
"http://dbpedia.org/ontology/associatedBand"	99824
"http://dbpedia.org/property/format"	98881
"http://dbpedia.org/property/t"	98427
"http://dbpedia.org/ontology/areaCode"	98353
"http://dbpedia.org/property/origin"	98350
"http://dbpedia.org/property/termStart"	97860
"http://dbpedia.org/property/unitPref"	97511
"http://dbpedia.org/ontology/formerTeam"	97184
"http://dbpedia.org/ontology/follows"	96775
"http://www.wikidata.org/entity/P155"	96775
"http://dbpedia.org/ontology/birthYear"	96652
"http://dbpedia.org/property/areaTotalKm"	95261
"http://dbpedia.org/property/article"	94094
"http://dbpedia.org/ontology/followedBy"	91958
"http://www.wikidata.org/entity/P156"	91958
"http://dbpedia.org/property/associatedActs"	91824
"http://www.wikidata.org/entity/P71"	91122
"http://dbpedia.org/ontology/activeYearsEndDate"	90369
"http://dbpedia.org/property/club"	90276
"http://dbpedia.org/property/nextAlbum"	89827
"http://dbpedia.org/property/rd3Score"	89485
"http://www.wikidata.org/entity/P434"	89431
"http://dbpedia.org/property/lastAlbum"	88557
"http://dbpedia.org/ontology/hometown"	87430
"http://dbpedia.org/property/note"	87066
"http://dbpedia.org/property/rd2Seed"	87056
"http://dbpedia.org/property/status"	87044
"http://dbpedia.org/property/spouse"	86989
"http://dbpedia.org/property/predecessor"	86956
"http://dbpedia.org/property/state"	86389
"http://dbpedia.org/property/runtime"	85030
"http://dbpedia.org/ontology/height"	84567
"http://dbpedia.org/ontology/language"	84443
"http://dbpedia.org/ontology/battle"	82710
"http://dbpedia.org/property/extra"	80476
"http://dbpedia.org/ontology/office"	80258
"http://dbpedia.org/ontology/populationDensity"	80193
"http://dbpedia.org/property/currentMembers"	80183
"http://dbpedia.org/ontology/PopulatedPlace/populationDensity"	80159
"http://dbpedia.org/property/battles"	79832
"http://www.wikidata.org/entity/P76"	79707
"http://dbpedia.org/property/termEnd"	79661
"http://dbpedia.org/property/nativeName"	79660
"http://dbpedia.org/property/yearsActive"	79397
"http://dbpedia.org/property/music"	78769
"http://dbpedia.org/ontology/nationality"	78743
"http://dbpedia.org/property/imagesize"	78706
"http://dbpedia.org/property/successor"	78542
"http://dbpedia.org/ontology/award"	78052
"http://dbpedia.org/property/synonyms"	77963
"http://dbpedia.org/ontology/format"	77676
"http://dbpedia.org/property/imageSize"	76789
"http://dbpedia.org/property/longitude"	76596
"http://dbpedia.org/property/attend"	76422
"http://dbpedia.org/property/latitude"	76362
"http://dbpedia.org/ontology/areaLand"	76220
"http://www.wikidata.org/entity/P264"	76027
"http://www.wikidata.org/entity/P74"	74618
"http://dbpedia.org/property/publisher"	73621
"http://dbpedia.org/property/unrankedSuperfamilia"	73531
"http://dbpedia.org/ontology/foundingYear"	73337
"http://dbpedia.org/property/rd"	72239
"http://dbpedia.org/property/opponent"	71833
"http://www.wikidata.org/entity/P360"	71552
"http://dbpedia.org/property/areaCode"	71364
"http://dbpedia.org/property/birthName"	71355
"http://www.wikidata.org/entity/P161"	71226
"http://dbpedia.org/property/postalCodeType"	71109
"http://dbpedia.org/property/background"	70889
"http://dbpedia.org/property/youthclubs"	70877
"http://dbpedia.org/property/alternativeNames"	70527
"http://dbpedia.org/ontology/successor"	70429
"http://dbpedia.org/property/population"	70092
"http://dbpedia.org/property/round"	69427
"http://dbpedia.org/ontology/binomialAuthority"	69371
"http://dbpedia.org/property/nationalteam"	69273
"http://dbpedia.org/property/gf"	68938
"http://dbpedia.org/ontology/party"	68732
"http://dbpedia.org/ontology/author"	68610
"http://dbpedia.org/property/owner"	68444
"http://dbpedia.org/property/almaMater"	68192
"http://dbpedia.org/property/imageMap"	67997
"http://dbpedia.org/property/ga"	67800
"http://dbpedia.org/property/mapsize"	67382
"http://www.wikidata.org/entity/P57"	67360
"http://dbpedia.org/ontology/activeYearsEndYear"	67143
"http://dbpedia.org/ontology/region"	66544
"http://dbpedia.org/ontology/background"	66346
"http://dbpedia.org/property/pastMembers"	66192
"http://dbpedia.org/property/office"	66110
"http://www.wikidata.org/entity/P436"	65249
"http://dbpedia.org/ontology/almaMater"	64928
"http://dbpedia.org/ontology/originalLanguage"	64870
"http://dbpedia.org/property/coordinatesType"	64659
"http://www.wikidata.org/entity/P364"	64457
"http://dbpedia.org/property/season"	64236
"http://www.wikidata.org/entity/P301"	63992
"http://dbpedia.org/property/nationalyears"	63479
"http://dbpedia.org/property/awards"	63131
"http://dbpedia.org/ontology/discoverer"	63094
"http://dbpedia.org/property/nat"	62376
"http://dbpedia.org/property/nationalcaps"	62290
"http://dbpedia.org/ontology/discovered"	61599
"http://dbpedia.org/property/currentclub"	61367
"http://www.wikidata.org/entity/P60"	61119
"http://dbpedia.org/property/established"	60910
"http://dbpedia.org/property/mile"	60870
"http://dbpedia.org/ontology/termPeriod"	60800
"http://dbpedia.org/property/district"	60711
"http://www.wikidata.org/entity/P54"	60559
"http://dbpedia.org/property/first"	60447
"http://dbpedia.org/property/other"	59863
"http://dbpedia.org/property/leaderTitle"	59570
"http://dbpedia.org/property/blankName"	59267
"http://dbpedia.org/ontology/length"	59057
"http://dbpedia.org/property/distributor"	58594
"http://dbpedia.org/property/subdivision"	58494
"http://dbpedia.org/ontology/areaWater"	57508
"http://dbpedia.org/ontology/publisher"	57380
"http://dbpedia.org/ontology/weight"	56992
"http://dbpedia.org/property/leaderName"	56436
"http://dbpedia.org/property/rd4Team"	56405
