"p"	"count"
"http://de.dbpedia.org/property/drb"	38923
"http://de.dbpedia.org/property/taxon4Wissname"	38469
"http://de.dbpedia.org/property/partei"	38145
"http://de.dbpedia.org/property/comunilimitrofi"	38077
"http://dbpedia.org/ontology/cityType"	37718
"http://de.dbpedia.org/property/rd3Score"	37377
"http://de.dbpedia.org/property/seiten"	37181
"http://dbpedia.org/ontology/height"	36263
"http://dbpedia.org/ontology/Person/height"	36204
"http://de.dbpedia.org/property/sitz"	36106
"http://de.dbpedia.org/property/taxon6Rang"	35996
"http://de.dbpedia.org/property/länge"	35725
"http://de.dbpedia.org/property/grundstücksnummer"	34458
"http://de.dbpedia.org/property/commonscat"	34408
"http://de.dbpedia.org/property/pl"	34349
"http://de.dbpedia.org/property/bürgermeister"	34156
"http://de.dbpedia.org/property/taxon5Wissname"	34119
"http://dbpedia.org/ontology/position"	34099
"http://de.dbpedia.org/property/taxonAutor"	33086
"http://de.dbpedia.org/property/nationalmannschaft"	32941
"http://de.dbpedia.org/property/gndfehlt"	32460
"http://de.dbpedia.org/property/größe"	32316
"http://dbpedia.org/ontology/region"	31224
"http://de.dbpedia.org/property/musik"	31163
"http://de.dbpedia.org/property/taxon5Name"	30910
"http://de.dbpedia.org/property/geburtsland"	30844
"http://de.dbpedia.org/property/os"	30783
"http://de.dbpedia.org/property/url"	30396
"http://dbpedia.org/ontology/locationCountry"	30253
"http://dbpedia.org/ontology/genre"	30223
"http://de.dbpedia.org/property/jugendvereine"	29721
"http://dbpedia.org/ontology/district"	29485
"http://de.dbpedia.org/property/taxon6Name"	29220
"http://dbpedia.org/ontology/associatedMusicalArtist"	28927
"http://dbpedia.org/ontology/instrument"	28927
"http://de.dbpedia.org/property/ergebnis"	28639
"http://de.dbpedia.org/property/ot"	28420
"http://de.dbpedia.org/property/plz"	28310
"http://de.dbpedia.org/property/taxon4Name"	28211
"http://de.dbpedia.org/property/len"	28199
"http://de.dbpedia.org/property/taxon6Wissname"	27906
"http://de.dbpedia.org/property/ds"	27742
"http://dbpedia.org/ontology/language"	27639
"http://de.dbpedia.org/property/datum"	27614
"http://de.dbpedia.org/property/gemeindeart"	27572
"http://de.dbpedia.org/property/länderspiele(tore)_"	27414
"http://de.dbpedia.org/property/rd3Seed"	27110
"http://de.dbpedia.org/property/pj"	27078
"http://de.dbpedia.org/property/ortsteil"	26715
"http://de.dbpedia.org/property/nationaljahre"	26544
"http://de.dbpedia.org/property/kamera"	26520
"http://dbpedia.org/ontology/director"	26337
"http://dbpedia.org/ontology/appearancesInNationalTeam"	26090
"http://de.dbpedia.org/property/schnitt"	26083
"http://dbpedia.org/ontology/musicComposer"	25979
"http://de.dbpedia.org/property/reg"	25925
"http://de.dbpedia.org/property/rd"	25682
"http://dbpedia.org/ontology/nationalYears"	24669
"http://de.dbpedia.org/property/rd3Team"	24620
"http://dbpedia.org/ontology/cinematography"	24487
"http://de.dbpedia.org/property/stand"	24391
"http://de.dbpedia.org/property/höheBezug"	24287
"http://dbpedia.org/ontology/editing"	23974
"http://de.dbpedia.org/property/homepage"	23901
"http://de.dbpedia.org/property/logo"	23839
"http://de.dbpedia.org/property/dim"	23522
"http://de.dbpedia.org/property/band"	23162
"http://dbpedia.org/ontology/nationalTeam"	23078
"http://de.dbpedia.org/property/gemeindename"	23027
"http://de.dbpedia.org/property/taxon3Name"	22767
"http://dbpedia.org/ontology/vehicleCode"	22750
"http://de.dbpedia.org/property/taxonName"	22131
"http://dbpedia.org/ontology/city"	22079
"http://de.dbpedia.org/property/leitung"	22077
"http://de.dbpedia.org/property/langname"	21634
"http://dbpedia.org/ontology/PopulatedPlace/area"	21398
"http://dbpedia.org/ontology/area"	21398
"http://de.dbpedia.org/property/gründungsdatum"	21382
"http://de.dbpedia.org/property/jugendjahre"	21312
"http://dbpedia.org/ontology/youthClub"	21304
"http://de.dbpedia.org/property/rd4Score"	20824
"http://de.dbpedia.org/property/land"	20447
"http://de.dbpedia.org/property/herausgeber"	20399
"http://de.dbpedia.org/property/dt"	20326
"http://de.dbpedia.org/property/objekt"	20283
"http://dbpedia.org/ontology/areaUrban"	20103
"http://dbpedia.org/ontology/PopulatedPlace/areaUrban"	20103
"http://de.dbpedia.org/property/sammelwerk"	20045
"http://de.dbpedia.org/property/quelle"	20004
"http://de.dbpedia.org/property/longitude"	19869
"http://de.dbpedia.org/property/latitude"	19815
"http://de.dbpedia.org/property/status"	19730
"http://dbpedia.org/ontology/riverMouth"	19636
"http://de.dbpedia.org/property/trainerjahre"	19562
"http://de.dbpedia.org/property/trainervereine"	19476
"http://de.dbpedia.org/property/ergebnisalt"	19437
"http://de.dbpedia.org/property/lonDeg"	18876
"http://de.dbpedia.org/property/latDeg"	18876
"http://de.dbpedia.org/property/gndname"	18875
"http://de.dbpedia.org/property/gewicht"	18781
"http://de.dbpedia.org/property/gründung"	18771
"http://de.dbpedia.org/property/gemeinde"	18330
"http://www.w3.org/2004/02/skos/core#related"	18099
"http://dbpedia.org/ontology/youthYears"	18060
"http://de.dbpedia.org/property/dez"	18037
"http://de.dbpedia.org/property/taxon2Name"	17851
"http://de.dbpedia.org/property/lonMin"	17810
"http://de.dbpedia.org/property/latMin"	17808
"http://de.dbpedia.org/property/bauzeit"	17689
"http://de.dbpedia.org/property/art"	17469
"http://de.dbpedia.org/property/fsk"	17087
"http://dbpedia.org/ontology/department"	16954
"http://de.dbpedia.org/property/breite"	16787
"http://de.dbpedia.org/property/karte"	16731
"http://de.dbpedia.org/property/zugriff"	16720
"http://de.dbpedia.org/property/tore"	16533
"http://dbpedia.org/ontology/managerClub"	16522
"http://dbpedia.org/ontology/state"	16468
"http://de.dbpedia.org/property/branche"	16251
"http://de.dbpedia.org/property/artikel"	16249
"http://de.dbpedia.org/property/latSec"	16204
"http://de.dbpedia.org/property/hersteller"	16143
"http://de.dbpedia.org/property/lonSec"	16138
"http://de.dbpedia.org/property/lat"	15912
"http://de.dbpedia.org/property/kgsNr"	15762
"http://de.dbpedia.org/property/unternehmensform"	15735
"http://de.dbpedia.org/property/eingemeindungsdatum"	15623
"http://de.dbpedia.org/property/insee"	15356
"http://de.dbpedia.org/property/auflage"	14997
"http://dbpedia.org/ontology/alias"	14970
"http://de.dbpedia.org/property/lgupdate"	14875
"http://de.dbpedia.org/property/kfz"	14644
"http://de.dbpedia.org/property/km²_"	14398
"http://de.dbpedia.org/property/einwohnerStandDatum"	14097
"http://dbpedia.org/ontology/province"	14076
"http://de.dbpedia.org/property/lageplan"	13604
"http://de.dbpedia.org/property/mündung"	13596
"http://de.dbpedia.org/property/eintragung"	13589
"http://de.dbpedia.org/property/sprache"	13407
"http://de.dbpedia.org/property/mündungLatGrad"	13310
"http://de.dbpedia.org/property/mündungLongGrad"	13309
"http://de.dbpedia.org/property/mündungRegion"	13288
"http://de.dbpedia.org/property/liga"	13146
"http://de.dbpedia.org/property/flusssystem"	13130
"http://de.dbpedia.org/property/mitarbeiterzahl"	13095
"http://de.dbpedia.org/property/rd4Seed"	13073
"http://dbpedia.org/ontology/populationAsOf"	13071
"http://de.dbpedia.org/property/rang"	12893
"http://de.dbpedia.org/property/quelleRegion"	12891
"http://de.dbpedia.org/property/cp"	12882
"http://de.dbpedia.org/property/poskarte"	12872
"http://de.dbpedia.org/property/stadion"	12862
"http://dbpedia.org/ontology/municipalityCode"	12840
"http://de.dbpedia.org/property/gemeindeschlüssel"	12806
"http://de.dbpedia.org/property/abflussweg"	12758
"http://de.dbpedia.org/property/bundesstaat"	12739
"http://de.dbpedia.org/property/farbe"	12670
"http://de.dbpedia.org/property/kommentar"	12502
"http://de.dbpedia.org/property/p"	12319
"http://dbpedia.org/ontology/Person/weight"	12240
"http://dbpedia.org/ontology/weight"	12240
"http://dbpedia.org/ontology/sourceConfluence"	12126
"http://dbpedia.org/ontology/populationTotal"	12104
"http://dbpedia.org/ontology/numberOfEmployees"	12088
"http://de.dbpedia.org/property/landkreis"	12065
"http://de.dbpedia.org/property/straße"	12049
"http://de.dbpedia.org/property/elevation"	12030
"http://de.dbpedia.org/property/kategorie"	11889
"http://de.dbpedia.org/property/v"	11855
"http://de.dbpedia.org/property/adresseSort"	11461
"http://dbpedia.org/ontology/county"	11400
"http://de.dbpedia.org/property/quelleLatGrad"	11359
"http://de.dbpedia.org/property/quelleLongGrad"	11357
"http://dbpedia.org/ontology/location"	11317
"http://de.dbpedia.org/property/canton"	11140
"http://de.dbpedia.org/property/département"	11091
"http://de.dbpedia.org/property/région"	11091
"http://de.dbpedia.org/property/besetzung1b"	11045
"http://de.dbpedia.org/property/arrondissement"	11034
"http://de.dbpedia.org/property/county"	11033
"http://de.dbpedia.org/property/body"	11022
"http://de.dbpedia.org/property/titelerg"	11015
"http://de.dbpedia.org/property/nomcommune"	10970
"http://de.dbpedia.org/property/altMaxi"	10962
"http://de.dbpedia.org/property/altMini"	10962
"http://de.dbpedia.org/property/bezirk"	10959
"http://de.dbpedia.org/property/zeitzone"	10818
"http://de.dbpedia.org/property/beschriftung"	10765
"http://de.dbpedia.org/property/label"	10737
"http://de.dbpedia.org/property/leftarm"	10545
"http://de.dbpedia.org/property/rightarm"	10542
"http://de.dbpedia.org/property/rd4Team"	10523
"http://de.dbpedia.org/property/t"	10511
"http://de.dbpedia.org/property/jahreVereine"	10458
"http://de.dbpedia.org/property/shorts"	10352
"http://de.dbpedia.org/property/adresseVerband"	10115
"http://de.dbpedia.org/property/katastralgemeinde"	10087
"http://de.dbpedia.org/property/eröffnung"	10086
"http://de.dbpedia.org/property/gliederung"	10032
"http://de.dbpedia.org/property/socks"	9879
"http://dbpedia.org/ontology/industry"	9873
"http://de.dbpedia.org/property/offizielleBeschr."	9860
"http://de.dbpedia.org/property/pos"	9791
"http://de.dbpedia.org/property/provincia"	9783
"http://de.dbpedia.org/property/lon"	9741
"http://de.dbpedia.org/property/online"	9716
"http://de.dbpedia.org/property/saison"	9709
"http://de.dbpedia.org/property/motoren"	9676
"http://de.dbpedia.org/property/c"	9627
"http://de.dbpedia.org/property/produzent"	9623
"http://de.dbpedia.org/property/superficie"	9601
"http://de.dbpedia.org/property/provinz"	9567
"http://de.dbpedia.org/property/disziplin"	9514
"http://de.dbpedia.org/property/mündungshöhe"	9400
"http://de.dbpedia.org/property/zuschauer"	9381
"http://de.dbpedia.org/property/gemeindekennzahl"	9345
"http://de.dbpedia.org/property/kfzKennzeichen"	9313
"http://de.dbpedia.org/property/besetzung2b"	9269
"http://de.dbpedia.org/property/telefonvorwahl"	9198
"http://de.dbpedia.org/property/bildtext"	9171
"http://de.dbpedia.org/property/trainer"	9143
"http://de.dbpedia.org/property/hrsg"	9019
